name,min price,max price,avg price
गोलभेडा ठूलो(नेपाली),50.00,60.00,56.67
गोलभेडा ठूलो(भारतीय),50.00,60.00,56.67
गोलभेडा सानो(लोकल),40.00,50.00,45.00
गोलभेडा सानो(टनेल),60.00,70.00,65.00
गोलभेडा सानो(भारतीय),50.00,60.00,55.00
गोलभेडा सानो(तराई),50.00,60.00,55.00
आलु रातो,25.00,26.00,25.50
आलु रातो(भारतीय),20.00,22.00,21.00
आलु सेतो,17.00,18.00,17.67
प्याज सुकेको (भारतीय),35.00,36.00,35.75
गाजर(लोकल),25.00,30.00,27.50
गाजर(तराई),20.00,25.00,22.50
बन्दा(लोकल),12.00,18.00,15.00
बन्दा(तराई),12.00,18.00,15.25
बन्दा(नरिवल),14.00,18.00,15.67
काउली स्थानिय,50.00,60.00,55.00
स्थानीय काउली(ज्यापु),60.00,70.00,65.00
मूला रातो,70.00,80.00,76.67
मूला सेतो(लोकल),35.00,40.00,38.33
सेतो मूला(हाइब्रीड),40.00,45.00,43.33
भन्टा लाम्चो,50.00,60.00,56.67
भन्टा डल्लो,50.00,60.00,56.67
बोडी(तने),110.00,120.00,116.67
मटरकोशा,60.00,70.00,66.67
घिउ सिमी(लोकल),40.00,50.00,46.67
घिउ सिमी(हाइब्रीड),60.00,70.00,66.00
घिउ सिमी(राजमा),110.00,120.00,116.67
टाटे सिमी,50.00,60.00,56.00
तितो करेला,100.00,110.00,105.00
लौका,50.00,60.00,56.67
परवर(तराई),90.00,100.00,96.67
घिरौला,110.00,120.00,116.67
फर्सी पाकेको,40.00,50.00,45.00
फर्सी हरियो(लाम्चो),40.00,50.00,45.00
हरियो फर्सी(डल्लो),40.00,50.00,45.00
सलगम,70.00,80.00,76.67
भिण्डी,110.00,120.00,115.00
सखरखण्ड,70.00,80.00,75.00
बरेला,70.00,80.00,75.00
पिंडालू,40.00,50.00,45.00
स्कूस,40.00,45.00,42.50
रायो साग,70.00,80.00,76.67
पालूगो साग,90.00,100.00,96.67
चमसूरको साग,100.00,120.00,110.00
तोरीको साग,40.00,50.00,46.67
मेथीको साग,90.00,100.00,96.67
प्याज हरियो,50.00,60.00,56.67
बकूला,60.00,70.00,66.67
तरुल,70.00,80.00,75.00
च्याउ(कन्य),150.00,180.00,164.00
च्याउ(डल्ले),300.00,350.00,325.00
कुरीलो,350.00,450.00,400.00
न्यूरो,80.00,90.00,86.67
ब्रोकाउली,80.00,90.00,86.67
चुकुन्दर,70.00,80.00,76.67
सजिवन,100.00,120.00,110.00
कोइरालो,150.00,180.00,165.00
रातो बन्दा,50.00,60.00,56.67
जिरीको साग,40.00,50.00,46.67
ग्याठ कोबी,60.00,70.00,66.67
सेलरी,120.00,150.00,135.00
पार्सले,220.00,250.00,235.00
सौफको साग,90.00,100.00,95.00
पुदीना,220.00,250.00,235.00
गान्टे मूला,70.00,80.00,75.00
इमली,150.00,160.00,156.67
तामा,90.00,100.00,96.67
तोफु,120.00,130.00,126.67
गुन्दुक,250.00,300.00,275.00
स्याउ(झोले),200.00,220.00,210.00
स्याउ(फूजी),250.00,300.00,275.00
केरा,140.00,150.00,146.67
कागती,260.00,300.00,280.00
अनार,250.00,300.00,275.00
अंगुर(हरियो),120.00,150.00,135.00
अंगुर(कालो),200.00,230.00,216.67
सुन्तला(भारतीय),120.00,150.00,135.00
तरबुजा(हरियो),40.00,50.00,45.00
मौसम,150.00,180.00,165.00
जुनार,220.00,250.00,235.00
भुई कटहर,180.00,200.00,190.00
काक्रो(लोकल),45.00,55.00,50.00
काक्रो(हाइब्रीड),15.00,20.00,18.33
रुख कटहर,90.00,100.00,96.67
नासपाती(चाइनिज),220.00,250.00,235.00
मेवा(नेपाली),70.00,80.00,76.67
मेवा(भारतीय),90.00,100.00,96.67
अम्बा,200.00,250.00,225.00
उखु,120.00,130.00,125.00
स्ट्रबेरी भुईऐसेलु,250.00,350.00,300.00
किवि,400.00,500.00,450.00
आभोकाडो,500.00,60.00,550.00
अमला,80.00,90.00,85.00
अदुवा,110.00,120.00,115.00
खु्र्सानी सुकेको,440.00,480.00,460.00
खु्र्सानी हरियो,100.00,120.00,110.00
खुर्सानी हरियो(बुलेट),90.00,100.00,96.67
खुर्सानी हरियो(माछे),80.00,90.00,85.00
खुर्सानी हरियो(अकबरे),250.00,300.00,275.00
भेडे खु्र्सानी,120.00,130.00,125.00
लसुन हरियो,50.00,60.00,56.67
हरियो धनिया,40.00,60.00,50.00
लसुन सुकेको चाइनिज,170.00,180.00,176.67
छ्यापी सुकेको,300.00,350.00,325.00
छ्यापी हरियो,90.00,100.00,95.00
ताजा माछा(रहु),330.00,360.00,346.67
ताजा माछा(बचुवा),260.00,300.00,280.00
ताजा माछा(छडी),250.00,300.00,275.00
ताजा माछा(मुंगरी),300.00,320.00,313.33
रुख टमाटर,150.00,180.00,165.00
