name,min price,max price,avg price
गोलभेडा ठूलो(नेपाली), ५०.००, ६०.००, ५५.००
गोलभेडा ठूलो(भारतीय), ५०.००, ६०.००, ५५.००
गोलभेडा सानो(लोकल), २५.००, ३०.००, २७.६७
गोलभेडा सानो(भारतीय), ३५.००, ४०.००, ३७.६७
गोलभेडा सानो(तराई), ३५.००, ४०.००, ३७.६७
आलु रातो, २८.००, ३२.००, २९.६७
आलु रातो(भारतीय), २५.००, २७.००, २६.००
आलु सेतो, २२.००, २४.००, २३.००
प्याज सुकेको (भारतीय), ३२.००, ३४.००, ३३.००
गाजर(लोकल), ७०.००, ८०.००, ७५.००
बन्दा(लोकल), १०.००, १५.००, १२.३३
काउली स्थानिय, ३५.००, ४०.००, ३७.६७
स्थानीय काउली(ज्यापु), ४०.००, ४५.००, ४२.३३
मूला सेतो(लोकल), २०.००, २५.००, २२.३३
सेतो मूला(हाइब्रीड), २५.००, ३०.००, २७.६७
भन्टा लाम्चो, ३५.००, ४०.००, ३७.६७
भन्टा डल्लो, ४०.००, ५०.००, ४५.००
बोडी(तने), ६०.००, ७०.००, ६५.००
मटरकोशा, ७०.००, ८०.००, ७५.००
घिउ सिमी(लोकल), ३५.००, ४०.००, ३७.६७
घिउ सिमी(हाइब्रीड), ४५.००, ५०.००, ४७.६७
घिउ सिमी(राजमा), ९०.००, १००.००, ९५.००
टाटे सिमी, ६०.००, ७०.००, ६५.००
भटमासकोशा, १२०.००, १३०.००, १२५.००
तितो करेला, ४०.००, ५०.००, ४५.००
लौका, ३०.००, ४०.००, ३५.००
परवर(लोकल), ६०.००, ७०.००, ६५.००
परवर(तराई), ६०.००, ७०.००, ६५.००
चिचिण्डो, ४०.००, ५०.००, ४५.००
घिरौला, ३५.००, ४०.००, ३७.६७
झिगूनी, ६०.००, ७०.००, ६५.००
फर्सी पाकेको, ३५.००, ४०.००, ३७.६७
फर्सी हरियो(लाम्चो), ३०.००, ४०.००, ३५.००
हरियो फर्सी(डल्लो), ३०.००, ४०.००, ३५.००
सलगम, ६०.००, ७०.००, ६५.००
भिण्डी, ९०.००, १००.००, ९५.००
सखरखण्ड, ७०.००, ८०.००, ७५.००
बरेला, ७०.००, ८०.००, ७५.००
पिंडालू, ४०.००, ५०.००, ४५.००
स्कूस, ३०.००, ४०.००, ३५.००
रायो साग, ३०.००, ४०.००, ३५.००
पालूगो साग, ११०.००, १२०.००, ११५.००
चमसूरको साग, ११०.००, १२०.००, ११५.००
तोरीको साग, ४०.००, ५०.००, ४५.००
मेथीको साग, ११०.००, १२०.००, ११५.००
प्याज हरियो, ४०.००, ५०.००, ४५.००
बकूला, ७०.००, ८०.००, ७५.००
च्याउ(कन्य), १४०.००, १६०.००, १५०.००
च्याउ(डल्ले), २८०.००, ३००.००, २९०.००
कुरीलो, ३००.००, ३५०.००, ३२५.००
न्यूरो, ९०.००, १००.००, ९५.००
ब्रोकाउली, ९०.००, १००.००, ९५.००
चुकुन्दर, ७०.००, ८०.००, ७५.००
सजिवन, ६०.००, ७०.००, ६५.००
कोइरालो, २८०.००, ३००.००, २९०.००
रातो बन्दा, ४०.००, ५०.००, ४५.००
जिरीको साग, ४०.००, ५०.००, ४५.००
ग्याठ कोबी, ४०.००, ५०.००, ४५.००
सेलरी, १२०.००, १५०.००, १३५.००
पार्सले, २२०.००, २५०.००, २३५.००
सौफको साग, ११०.००, १२०.००, ११५.००
पुदीना, १२०.००, १५०.००, १३५.००
गान्टे मूला, ६०.००, ७०.००, ६५.००
इमली, १४०.००, १५०.००, १४५.००
तामा, ९०.००, १००.००, ९५.००
तोफु, १९०.००, २००.००, १९५.००
गुन्दुक, २५०.००, ३००.००, २७५.००
स्याउ(झोले), १८०.००, २००.००, १९०.००
स्याउ(फूजी), २२५.००, २५०.००, २३७.५०
केरा, १७०.००, १८०.००, १७५.००
कागती, २२०.००, २४०.००, २३०.००
अनार, २२५.००, २५०.००, २३७.५०
आँप(दसहरी), १८०.००, २००.००, १९०.००
अंगुर(हरियो), १२०.००, १३०.००, १२५.००
अंगुर(कालो), १८०.००, २००.००, १९०.००
सुन्तला(भारतीय), १५०.००, १६०.००, १५५.००
तरबुजा(हरियो), ३५.००, ४०.००, ३७.६७
मौसम, १८०.००, २००.००, १९०.००
जुनार, २२५.००, २५०.००, २३७.५०
भुई कटहर, १८०.००, २००.००, १९०.००
काक्रो(लोकल), ११०.००, १२०.००, ११५.००
काक्रो(हाइब्रीड), ५०.००, ६०.००, ५५.००
रुख कटहर, ६०.००, ७०.००, ६५.००
नासपाती(चाइनिज), २४०.००, २५०.००, २४५.००
मेवा(नेपाली), ६०.००, ७०.००, ६५.००
मेवा(भारतीय), ८०.००, ९०.००, ८५.००
किनु, १२०.००, १५०.००, १३५.००
स्ट्रबेरी भुईऐसेलु, ३००.००, ४००.००, ३५०.००
किवि, ४००.००, ५००.००, ४५०.००
आभोकाडो, ५००.००, ६००.००, ५५०.००
अमला, १२०.००, १३०.००, १२५.००
अदुवा, १९०.००, २००.००, १९५.००
खु्र्सानी सुकेको, ४५०.००, ४८०.००, ४६५.००
खु्र्सानी हरियो, ६०.००, ७०.००, ६५.००
खुर्सानी हरियो(बुलेट), ६०.००, ७०.००, ६५.००
खुर्सानी हरियो(माछे), ५०.००, ६०.००, ५५.००
खुर्सानी हरियो(अकबरे), २५०.००, ३००.००, २७५.००
भेडे खु्र्सानी, ८०.००, ९०.००, ८५.००
लसुन हरियो, ५०.००, ६०.००, ५५.००
हरियो धनिया, ३०.००, ४०.००, ३५.००
